customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
1147-DHVHI,2021-08-26,Refferal,2022-08-21,Basic,Annual,,,6.99,504,52,0,meera,Nepal,Kathmandu,Female,1990-10-29,2024-04-22,N,54.0,2.0
1148-FPBCB,2020-12-27,Organic,2021-01-26,Premium,Monthly,,,29.99,628,34,0,ayaan,India,Tamil Nadu,Female,1965-01-12,,,,
1149-QLCLW,2024-06-18,Refferal,2024-07-18,Basic,Monthly,,,9.99,169,80,0,kabir,India,Meghalaya,Male,1978-07-16,,,,
1150-HVSFM,2019-05-13,Organic,2020-05-07,Premium,Annual,,,29.99,1169,50,0,ishaan,Nepal,Kathmandu,Female,1972-12-21,,,,
1151-DPEKX,2024-01-04,Paid,2024-12-29,Premium,Annual,2024-09-19,Switched to competitor,22.99,364,71,1,aditya,India,Telangana,Male,1972-07-13,2025-03-08,N,71.0,1.0
1152-MLRMD,2021-12-05,Organic,2022-11-30,Basic,Annual,,,8.99,141,47,0,rishi,India,Nagaland,Female,1972-04-18,,,,
1153-RCKTT,2021-04-21,Organic,2021-05-21,Standard,Monthly,,,13.99,473,79,0,dev,India,Nagaland,Female,1994-04-28,,,,
1154-VJJHD,2024-05-21,Organic,2024-06-20,Standard,Monthly,2024-07-31,Switched to competitor,17.99,765,45,1,vivaan,India,Meghalaya,Female,1971-11-22,2025-10-03,N,61.0,1.0
1155-URMFL,2019-09-10,Refferal,2019-10-10,Standard,Monthly,2021-10-07,Not enough content,17.99,180,88,1,dev,India,Meghalaya,Female,1967-01-02,2020-10-10,N,71.0,1.0
1156-SHPJC,2020-05-31,Refferal,2021-05-26,Basic,Annual,2020-10-03,Poor customer support,6.99,253,79,1,saanvi,Nepal,Kathmandu,Female,1970-05-25,2022-09-04,Y,34.0,2.0
1157-AZWTS,2025-01-02,Organic,2025-02-01,Premium,Monthly,,,22.99,659,59,0,isha,India,Meghalaya,Female,1971-08-26,2025-05-29,N,88.0,1.0
1158-BMKWH,2024-07-06,Organic,2025-07-01,Basic,Annual,,,8.99,439,37,0,vivaan,Nepal,Kathmandu,Male,2005-03-28,,,,
1159-XOYKI,2023-03-12,Paid,2024-03-06,Basic,Annual,,,9.99,512,29,0,rahul,India,Meghalaya,Male,1973-06-07,,,,
1160-MEYQS,2021-03-26,Refferal,2021-04-25,Basic,Monthly,2023-08-31,Too expensive,9.99,319,57,1,aarav,India,Karnataka,Female,2002-07-19,2021-09-23,N,75.0,1.0
1161-LFIXW,2023-08-05,Paid,2024-07-30,Premium,Annual,,,22.99,1790,63,0,aditya,India,Rajasthan,Male,1972-04-23,,,,
1162-EUFTZ,2021-06-12,Organic,2021-07-12,Standard,Monthly,,,13.99,695,67,0,aarav,India,Telangana,Male,1996-12-21,,,,
1163-AQVLR,2022-02-08,Organic,2022-03-10,Standard,Monthly,2024-03-22,Poor customer support,13.99,610,54,1,rohan,India,Tamil Nadu,Male,1995-09-14,,,,
1164-ZZZTM,2019-05-25,Organic,2019-06-24,Premium,Monthly,,,22.99,1081,47,0,kabir,India,Uttar Pradesh,Male,1994-05-27,,,,
1165-UZPVL,2021-01-19,Paid,2022-01-14,Standard,Annual,,,17.99,1221,23,0,isha,India,Rajasthan,Female,1978-03-07,,,,
1166-HXJNZ,2019-10-19,Paid,2020-10-13,Standard,Annual,,,17.99,453,61,0,dev,India,Uttar Pradesh,Male,1985-10-21,,,,
1167-JNBEE,2020-12-25,Organic,2021-01-24,Premium,Monthly,,,22.99,137,36,0,reyansh,India,Uttar Pradesh,Female,1971-06-05,,,,
1168-FPZYY,2023-03-09,Organic,2023-04-08,Premium,Monthly,,,20.99,580,54,0,aditya,India,Karnataka,Female,1983-02-05,,,,
1169-UXHHW,2022-04-06,Refferal,2022-05-06,Standard,Monthly,,,13.99,563,49,0,dev,India,Uttar Pradesh,Male,1982-03-17,,,,
1170-EKPLY,2024-08-28,Organic,2025-08-23,Basic,Annual,2025-10-22,Not enough content,6.99,374,90,1,reyansh,India,Karnataka,Female,1965-11-10,,,,
1171-TBVDU,2021-04-21,Paid,2021-05-21,Standard,Monthly,,,12.99,487,58,0,rishi,India,Delhi,Male,1983-09-12,2023-01-18,N,53.0,1.0
1172-DQXTD,2023-08-06,Refferal,2024-07-31,Standard,Annual,,,13.99,209,31,0,ishaan,India,Maharashtra,Female,1973-11-29,,,,
1173-PKHAA,2021-08-04,Paid,2021-09-03,Standard,Monthly,,,13.99,294,26,0,kabir,India,Maharashtra,Female,1971-09-10,,,,
1174-BJLZV,2023-01-04,Paid,2023-02-03,Basic,Monthly,,,8.99,370,77,0,anaya,India,Meghalaya,Male,2003-03-09,,,,
1175-FDMMO,2019-08-29,Organic,2020-08-23,Standard,Annual,,,17.99,1084,44,0,krishna,India,Meghalaya,Female,2000-11-18,,,,
1176-PZSVO,2024-06-01,Paid,2025-05-27,Premium,Annual,,,20.99,480,42,0,sai,India,Tamil Nadu,Male,1992-06-04,2024-06-13,N,88.0,1.0
1177-VKQQW,2019-08-12,Organic,2020-08-06,Standard,Annual,2020-03-04,Poor streaming quality,17.99,899,38,1,yash,India,Tamil Nadu,Female,1986-08-14,,,,
1178-KHKIB,2024-08-03,Paid,2024-09-02,Basic,Monthly,2025-01-16,Poor customer support,6.99,269,81,1,isha,India,Telangana,Female,1983-02-03,,,,
1179-CZTTU,2024-04-21,Refferal,2025-04-16,Premium,Annual,,,22.99,914,20,0,ishaan,India,Gujarat,Female,1980-04-16,,,,
1180-HAKLU,2023-08-04,Organic,2023-09-03,Basic,Monthly,2025-06-04,Switched to competitor,9.99,134,74,1,priya,India,Rajasthan,Male,1996-06-30,,,,
1181-DYNBU,2025-03-16,Paid,2025-04-15,Basic,Monthly,,,6.99,298,71,0,rishi,India,West Bengal,Female,1985-07-08,,,,
1182-FXEDM,2022-01-25,Paid,2023-01-20,Standard,Annual,,,12.99,530,46,0,kabir,India,Tamil Nadu,Male,1987-08-13,,,,
1183-ENTWX,2022-11-15,Paid,2022-12-15,Standard,Monthly,,,13.99,208,65,0,isha,India,Rajasthan,Male,1996-12-07,,,,
1184-WUKWD,2020-03-12,Refferal,2021-03-07,Basic,Annual,2020-09-21,Switched to competitor,9.99,139,88,1,neha,India,Uttar Pradesh,Female,1995-03-31,,,,
1185-EBWZJ,2024-09-23,Paid,2025-09-18,Premium,Annual,,,20.99,1492,58,0,reyansh,India,Gujarat,Female,1969-08-07,,,,
1186-MNZVK,2023-02-15,Paid,2024-02-10,Premium,Annual,,,29.99,1580,23,0,meera,India,Delhi,Male,1974-02-10,,,,
1187-FVCFF,2019-01-24,Paid,2019-02-23,Standard,Monthly,2021-03-05,Poor customer support,13.99,76,60,1,rahul,India,Gujarat,Male,1984-03-22,,,,
1188-UTVJP,2020-10-14,Paid,2021-10-09,Standard,Annual,,,17.99,836,40,0,priya,India,Tamil Nadu,Male,2000-03-03,,,,
1189-GVKKL,2021-09-25,Organic,2021-10-25,Basic,Monthly,,,9.99,565,62,0,ishaan,India,Telangana,Female,1990-03-07,,,,
1190-RXJAQ,2020-01-29,Organic,2021-01-23,Basic,Annual,2022-05-14,Poor streaming quality,6.99,92,58,1,rishi,India,Uttar Pradesh,Female,1986-11-02,,,,
1191-NDGRW,2019-08-11,Organic,2020-08-05,Basic,Annual,2020-06-08,Poor streaming quality,6.99,395,63,1,dev,Nepal,Kathmandu,Male,1998-07-04,2020-06-29,Y,53.0,1.0
1192-RAUXT,2022-02-27,Organic,2023-02-22,Basic,Annual,,,6.99,280,63,0,aditya,Nepal,Kathmandu,Male,1981-01-17,,,,
1193-RHEXM,2020-05-19,Refferal,2020-06-18,Premium,Monthly,2022-02-09,Poor streaming quality,20.99,852,43,1,priya,India,Gujarat,Female,1978-05-16,2022-10-07,N,55.0,2.0
1194-DFVZS,2024-06-18,Organic,2025-06-13,Basic,Annual,,,6.99,214,65,0,pooja,India,Delhi,Female,1993-12-02,2025-01-02,N,73.0,1.0
1195-TVJWS,2023-11-22,Organic,2023-12-22,Basic,Monthly,2025-01-08,Switched to competitor,9.99,299,83,1,arjun,India,Tamil Nadu,Male,1984-03-19,,,,
1196-DFUTC,2019-11-05,Paid,2020-10-30,Basic,Annual,,,9.99,694,31,0,rishi,India,Rajasthan,Female,2004-12-25,,,,
1197-YSGBR,2022-04-06,Refferal,2022-05-06,Standard,Monthly,2023-10-16,Poor streaming quality,17.99,519,47,1,krishna,India,Gujarat,Female,1994-05-02,,,,
1198-ZTVFY,2024-06-20,Organic,2024-07-20,Standard,Monthly,2025-05-01,Too expensive,12.99,87,86,1,isha,India,Karnataka,Female,1990-05-29,2024-10-03,N,78.0,2.0
1199-XISRS,2023-07-21,Refferal,2023-08-20,Standard,Monthly,,,17.99,488,61,0,sai,India,Meghalaya,Male,1991-05-13,2024-10-13,Y,14.0,2.0
1200-TWDVH,2019-04-02,Paid,2020-03-27,Standard,Annual,,,13.99,302,28,0,aadhya,India,Uttar Pradesh,Female,1995-04-16,2021-09-30,N,48.0,1.0
1201-IFQMT,2021-06-17,Refferal,2022-06-12,Standard,Annual,,,12.99,589,55,0,tara,India,West Bengal,Male,1968-11-05,,,,
1202-FTVQI,2024-11-11,Organic,2024-12-11,Basic,Monthly,,,6.99,282,44,0,sai,Nepal,Kathmandu,Female,1991-10-05,2025-02-14,N,53.0,2.0
1203-YVUNQ,2020-02-05,Paid,2020-03-06,Premium,Monthly,,,29.99,624,29,0,aadhya,India,Uttar Pradesh,Female,1975-04-18,,,,
1204-RNIGA,2023-01-23,Refferal,2023-02-22,Standard,Monthly,2024-05-18,Not enough content,13.99,267,88,1,yash,Nepal,Kathmandu,Male,1988-04-25,2024-12-19,Y,23.0,1.0
1205-RZRPF,2020-05-02,Organic,2020-06-01,Standard,Monthly,,,17.99,669,33,0,diya,India,Gujarat,Male,1978-10-04,,,,
1206-MZKZR,2024-04-15,Organic,2024-05-15,Premium,Monthly,,,20.99,576,32,0,nisha,Nepal,Kathmandu,Male,1972-03-18,2025-05-13,N,70.0,1.0
1207-WTBYF,2021-08-06,Paid,2021-09-05,Basic,Monthly,,,9.99,405,50,0,rohan,India,Nagaland,Female,2003-02-26,,,,
1208-CIYML,2022-11-26,Organic,2022-12-26,Standard,Monthly,,,13.99,276,41,0,kabir,India,Meghalaya,Female,1988-03-23,,,,
1209-SAIFN,2021-10-21,Refferal,2022-10-16,Premium,Annual,,,29.99,1160,60,0,isha,India,Maharashtra,Male,1980-04-02,,,,
1210-YOVOS,2022-07-17,Paid,2023-07-12,Standard,Annual,,,12.99,466,18,0,pooja,India,Delhi,Male,1968-01-12,,,,
1211-IHJCM,2021-01-18,Refferal,2021-02-17,Standard,Monthly,,,13.99,803,41,0,kabir,Nepal,Kathmandu,Male,1989-11-16,,,,
1212-HXHIG,2019-01-28,Refferal,2019-02-27,Basic,Monthly,,,8.99,421,69,0,ayaan,India,Telangana,Male,1971-12-31,,,,
1213-SIPFY,2019-05-14,Paid,2020-05-08,Basic,Annual,,,9.99,441,72,0,riya,India,Gujarat,Female,1998-08-26,,,,
1214-DWQOK,2021-12-12,Organic,2022-12-07,Basic,Annual,2023-05-23,Poor customer support,9.99,328,72,1,yash,India,Delhi,Female,1982-01-08,2022-12-20,N,62.0,2.0
1215-DXIZH,2024-10-18,Paid,2024-11-17,Standard,Monthly,,,12.99,362,45,0,meera,India,Meghalaya,Female,1971-07-18,,,,
1216-SBMDW,2021-11-21,Organic,2021-12-21,Standard,Monthly,,,17.99,484,74,0,sai,India,Delhi,Male,1986-05-18,,,,
1217-SUURF,2020-08-16,Organic,2020-09-15,Premium,Monthly,,,29.99,1547,39,0,neha,India,Rajasthan,Female,1999-10-03,,,,
1218-CCFKH,2024-11-03,Refferal,2024-12-03,Basic,Monthly,,,8.99,247,39,0,anaya,India,Uttar Pradesh,Male,1992-02-27,2025-01-23,Y,35.0,1.0
1219-DCPRB,2022-06-21,Refferal,2022-07-21,Standard,Monthly,2024-08-29,Too expensive,13.99,554,65,1,aarav,India,Meghalaya,Male,1969-08-30,2025-01-13,Y,40.0,1.0
1220-RIROE,2024-05-26,Organic,2025-05-21,Standard,Annual,,,13.99,780,37,0,yash,India,Gujarat,Female,1993-04-23,,,,
1221-IEJAA,2019-02-07,Paid,2019-03-09,Standard,Monthly,,,13.99,335,72,0,isha,India,Karnataka,Female,1989-01-02,,,,
1222-GNRNM,2022-01-18,Paid,2022-02-17,Basic,Monthly,2024-04-02,Poor streaming quality,9.99,212,50,1,ayaan,India,Karnataka,Female,2002-02-28,2023-04-26,Y,49.0,1.0
1223-GKAEB,2020-09-09,Organic,2020-10-09,Basic,Monthly,2021-06-03,Too expensive,6.99,187,77,1,meera,India,Delhi,Male,1977-08-28,2023-05-11,Y,27.0,2.0
1224-IMADY,2021-05-03,Organic,2022-04-28,Basic,Annual,,,9.99,678,43,0,yash,India,Telangana,Female,1976-02-02,,,,
1225-BXRQD,2023-11-14,Organic,2023-12-14,Premium,Monthly,,,29.99,490,50,0,krishna,India,Nagaland,Female,1981-03-03,,,,
1226-ABSZW,2019-09-03,Paid,2019-10-03,Basic,Monthly,2021-08-08,Switched to competitor,8.99,398,61,1,myra,Nepal,Kathmandu,Male,1999-07-30,,,,
1227-ZUYLZ,2023-11-28,Refferal,2023-12-28,Basic,Monthly,,,8.99,385,48,0,dev,India,Nagaland,Male,1995-12-02,,,,
1228-KXOIT,2024-09-03,Paid,2024-10-03,Premium,Monthly,,,29.99,541,59,0,riya,India,Gujarat,Female,1985-02-27,,,,
1229-CVRMG,2019-10-01,Organic,2020-09-25,Basic,Annual,2020-03-26,Switched to competitor,9.99,130,66,1,isha,India,West Bengal,Female,1992-07-02,2020-11-01,N,78.0,1.0
1230-BLHTW,2019-09-06,Paid,2020-08-31,Premium,Annual,,,29.99,2168,35,0,aditya,India,Delhi,Female,1994-06-01,,,,
1231-BTIQB,2021-03-02,Paid,2022-02-25,Basic,Annual,,,6.99,203,40,0,rahul,India,Maharashtra,Male,1974-09-08,,,,
1232-NXDYU,2020-10-09,Organic,2020-11-08,Basic,Monthly,,,8.99,387,60,0,tara,India,Uttar Pradesh,Female,2004-08-08,,,,
1233-KLNYU,2023-01-14,Refferal,2024-01-09,Basic,Annual,,,8.99,443,32,0,aadhya,Nepal,Kathmandu,Female,1990-04-06,2023-01-30,N,64.0,1.0
1234-JHGKA,2021-10-20,Organic,2021-11-19,Standard,Monthly,2024-03-13,Too expensive,17.99,726,56,1,neha,Nepal,Kathmandu,Female,1969-03-25,,,,
1235-ZPFPW,2022-10-01,Organic,2023-09-26,Basic,Annual,,,6.99,457,31,0,yash,India,Tamil Nadu,Male,1991-09-14,,,,
1236-TAUYU,2019-07-26,Paid,2019-08-25,Standard,Monthly,,,12.99,466,79,0,saanvi,India,Delhi,Male,1979-04-29,,,,
1237-CHNJZ,2020-06-18,Organic,2020-07-18,Standard,Monthly,,,13.99,510,59,0,saanvi,India,Karnataka,Male,1986-05-07,,,,
1238-GRTXQ,2022-08-06,Organic,2022-09-05,Basic,Monthly,2024-07-22,Switched to competitor,6.99,147,75,1,ayaan,India,Telangana,Female,1979-07-05,2024-09-19,N,50.0,3.0
1239-JAKWZ,2025-02-25,Paid,2025-03-27,Standard,Monthly,,,13.99,205,64,0,vihaan,India,Rajasthan,Male,1979-11-21,,,,
1240-VQBIF,2023-01-15,Organic,2023-02-14,Standard,Monthly,,,13.99,67,69,0,vivaan,India,Rajasthan,Male,1967-05-20,,,,
1241-MQWDK,2021-10-10,Paid,2021-11-09,Premium,Monthly,,,20.99,474,52,0,myra,India,Tamil Nadu,Female,1973-12-03,2024-01-19,Y,26.0,2.0
1242-ARIHE,2021-07-20,Refferal,2022-07-15,Standard,Annual,,,17.99,786,37,0,anaya,India,Meghalaya,Male,1997-09-28,,,,
1243-KOREG,2023-10-28,Paid,2024-10-22,Basic,Annual,,,6.99,387,59,0,rohan,India,Karnataka,Female,2003-09-11,,,,
1244-RRXDF,2022-01-26,Paid,2022-02-25,Premium,Monthly,2022-09-20,Switched to competitor,29.99,387,88,1,anaya,India,Karnataka,Male,2004-06-25,,,,
1245-THHVA,2023-05-07,Paid,2023-06-06,Premium,Monthly,,,20.99,230,26,0,diya,India,Maharashtra,Female,1971-01-06,,,,
1246-AINHX,2021-10-07,Organic,2021-11-06,Premium,Monthly,,,22.99,150,48,0,kabir,India,Telangana,Male,1972-12-11,,,,
1247-XSTRQ,2025-01-12,Refferal,2025-02-11,Premium,Monthly,,,29.99,193,63,0,rohan,Nepal,Kathmandu,Male,1985-04-05,,,,
1248-OMJYJ,2024-08-12,Paid,2024-09-11,Premium,Monthly,2026-06-30,Poor streaming quality,20.99,1076,66,1,kiara,India,Karnataka,Male,1995-12-14,2025-03-06,N,50.0,1.0
1249-KWUWZ,2024-09-26,Paid,2024-10-26,Standard,Monthly,,,17.99,252,46,0,sai,Nepal,Kathmandu,Male,1970-02-14,,,,
1250-KSVEF,2021-01-10,Paid,2022-01-05,Basic,Annual,2021-07-08,Poor customer support,9.99,131,59,1,pooja,India,Karnataka,Male,1983-10-28,,,,
1251-PRZAT,2022-02-13,Organic,2023-02-08,Standard,Annual,,,17.99,996,31,0,dev,India,Nagaland,Female,1985-05-10,2023-12-13,N,54.0,1.0
1252-VSTJK,2020-12-27,Paid,2021-12-22,Standard,Annual,,,17.99,1148,20,0,riya,India,Maharashtra,Female,1972-12-30,2022-01-08,N,49.0,1.0
1253-RCJPE,2024-12-06,Paid,2025-12-01,Standard,Annual,,,12.99,621,56,0,vihaan,Nepal,Kathmandu,Male,1988-08-23,,,,
1254-WJNTK,2021-08-11,Paid,2022-08-06,Standard,Annual,,,12.99,265,19,0,krishna,India,Gujarat,Male,1970-10-27,,,,
1255-ZDXGZ,2022-02-27,Paid,2022-03-29,Premium,Monthly,2022-06-21,Too expensive,29.99,1155,84,1,nisha,India,Meghalaya,Male,1980-09-07,2023-11-19,N,56.0,2.0
1256-PZBUE,2022-07-16,Paid,2022-08-15,Premium,Monthly,,,29.99,139,61,0,myra,India,Karnataka,Male,1985-09-30,2024-11-22,Y,34.0,1.0
1257-STMFT,2024-01-26,Refferal,2024-02-25,Basic,Monthly,,,8.99,193,47,0,vihaan,India,Rajasthan,Male,1996-11-04,,,,
1258-BYGCO,2020-08-09,Paid,2021-08-04,Premium,Annual,,,22.99,487,45,0,isha,India,Delhi,Female,1973-07-14,,,,
1259-BOMWQ,2022-07-03,Organic,2023-06-28,Basic,Annual,2024-10-01,Too expensive,9.99,643,53,1,vihaan,India,Delhi,Male,1995-10-27,2023-09-27,N,62.0,1.0
1260-FIDAT,2021-09-29,Refferal,2022-09-24,Basic,Annual,2022-09-27,Poor streaming quality,9.99,351,34,1,meera,India,Gujarat,Male,1989-08-23,2022-01-15,Y,15.0,1.0
1261-MFWTS,2019-11-18,Paid,2020-11-12,Premium,Annual,,,29.99,2079,48,0,rohan,Nepal,Kathmandu,Male,1979-01-07,2021-11-02,N,74.0,2.0
1262-PHHET,2024-05-14,Paid,2024-06-13,Standard,Monthly,,,13.99,188,53,0,krishna,India,Uttar Pradesh,Male,2000-05-20,,,,
1263-QDMWZ,2021-09-25,Organic,2021-10-25,Standard,Monthly,,,17.99,613,46,0,vihaan,India,Uttar Pradesh,Male,2000-07-19,,,,
1264-SNZNS,2024-03-11,Refferal,2025-03-06,Standard,Annual,,,12.99,275,29,0,priya,India,Uttar Pradesh,Female,1972-10-06,,,,
1265-MCTDV,2019-01-01,Organic,2019-01-31,Standard,Monthly,,,12.99,543,60,0,rishi,India,Tamil Nadu,Female,1979-09-09,,,,
1266-SOGGV,2023-07-14,Paid,2024-07-08,Premium,Annual,,,29.99,1915,29,0,dev,India,Uttar Pradesh,Male,1984-07-02,,,,
1267-AWRLD,2025-02-10,Organic,2026-02-05,Standard,Annual,,,13.99,334,30,0,pooja,India,Rajasthan,Female,1984-05-14,,,,
1268-LNEJV,2023-08-31,Organic,2024-08-25,Standard,Annual,,,12.99,1044,56,0,arjun,India,Karnataka,Male,1971-06-18,,,,
1269-TFOQN,2024-08-17,Refferal,2024-09-16,Standard,Monthly,2026-04-13,Poor streaming quality,12.99,96,84,1,meera,India,Nagaland,Female,1973-05-03,2024-11-06,Y,43.0,1.0
1270-OQCQT,2024-12-31,Organic,2025-01-30,Premium,Monthly,,,22.99,806,52,0,aditya,India,Telangana,Male,1995-09-08,,,,
1271-ZJJFB,2019-04-22,Paid,2019-05-22,Standard,Monthly,2019-08-29,Switched to competitor,13.99,133,55,1,yash,India,Tamil Nadu,Male,1967-10-04,,,,
1272-IIAXD,2024-06-09,Refferal,2024-07-09,Standard,Monthly,2026-01-15,Forgot to cancel trial,12.99,403,52,1,nisha,India,Karnataka,Female,1994-07-27,,,,
1273-YNYMH,2020-11-17,Refferal,2020-12-17,Basic,Monthly,,,6.99,230,92,0,kabir,India,Nagaland,Female,1974-06-17,2021-12-21,N,54.0,2.0
1274-VKQVB,2023-05-22,Organic,2023-06-21,Basic,Monthly,,,9.99,539,90,0,vihaan,India,Gujarat,Female,1992-05-21,,,,
1275-QKVWF,2022-12-10,Organic,2023-01-09,Basic,Monthly,2023-11-10,Switched to competitor,8.99,46,53,1,anaya,India,Gujarat,Male,2002-04-23,,,,
1276-UDWDC,2024-02-01,Paid,2024-03-02,Standard,Monthly,,,12.99,315,76,0,pooja,India,Tamil Nadu,Female,2005-03-12,,,,
1277-KIFYC,2021-04-01,Paid,2021-05-01,Premium,Monthly,,,22.99,382,18,0,krishna,India,Delhi,Male,1967-09-12,,,,
1278-GTUDO,2019-01-04,Paid,2019-02-03,Standard,Monthly,,,17.99,832,42,0,yash,India,Rajasthan,Male,1968-02-28,,,,
1279-MSAQW,2020-05-11,Refferal,2020-06-10,Standard,Monthly,,,13.99,357,47,0,neha,India,Nagaland,Female,2002-11-11,2022-03-05,Y,45.0,3.0
1280-MVGJW,2021-03-01,Organic,2021-03-31,Premium,Monthly,2022-12-13,Switched to competitor,20.99,514,81,1,saanvi,India,Maharashtra,Male,1986-10-28,,,,
1281-ZOABK,2025-01-06,Paid,2026-01-01,Basic,Annual,2026-06-30,Switched to competitor,9.99,138,45,1,vivaan,India,Uttar Pradesh,Male,1983-03-11,2025-02-21,Y,51.0,2.0
1282-ZDOTF,2023-10-12,Organic,2024-10-06,Standard,Annual,,,12.99,1049,61,0,rishi,India,Tamil Nadu,Male,1970-02-14,,,,
1283-DVSRE,2023-02-24,Organic,2023-03-26,Basic,Monthly,,,9.99,302,64,0,anaya,India,Telangana,Female,1980-01-19,2025-08-12,N,45.0,2.0
1284-FCWUS,2021-09-06,Paid,2022-09-01,Basic,Annual,,,8.99,516,61,0,dev,India,Rajasthan,Female,1996-01-22,,,,
1285-TCUZJ,2024-09-09,Paid,2025-09-04,Premium,Annual,,,29.99,2013,23,0,diya,India,Meghalaya,Female,1973-08-11,2025-02-08,N,75.0,1.0
1286-FFVBB,2019-08-03,Paid,2020-07-28,Standard,Annual,,,12.99,272,19,0,rohan,India,Uttar Pradesh,Female,1976-04-11,,,,
1287-DCHXO,2023-08-17,Organic,2023-09-16,Basic,Monthly,,,6.99,236,45,0,tara,India,Tamil Nadu,Female,1998-07-07,,,,
1288-NEGTO,2019-05-12,Organic,2020-05-06,Standard,Annual,,,12.99,187,25,0,sai,India,Meghalaya,Female,1997-04-16,,,,
1289-ONFYK,2021-06-05,Refferal,2021-07-05,Premium,Monthly,,,22.99,729,67,0,ayaan,India,Rajasthan,Female,1990-12-07,,,,
1290-NSHSE,2024-12-15,Paid,2025-12-10,Premium,Annual,,,22.99,1693,13,0,riya,India,Tamil Nadu,Female,1966-12-26,,,,
1291-CRYAW,2022-06-02,Organic,2023-05-28,Basic,Annual,2023-10-30,Forgot to cancel trial,9.99,638,69,1,rahul,India,Meghalaya,Female,1981-01-29,,,,
1292-MFZLU,2025-01-30,Paid,2025-03-01,Standard,Monthly,,,17.99,356,36,0,kiara,Nepal,Kathmandu,Male,1982-04-07,,,,
1293-XBQVL,2021-04-18,Paid,2021-05-18,Standard,Monthly,2022-05-10,Switched to competitor,12.99,158,99,1,dev,India,Delhi,Male,1985-11-16,,,,
1294-WGYXY,2024-08-15,Organic,2024-09-14,Basic,Monthly,,,8.99,102,77,0,ayaan,India,Uttar Pradesh,Male,1987-08-04,,,,
1295-OTLZV,2020-03-23,Refferal,2020-04-22,Standard,Monthly,2020-08-29,Not enough content,12.99,413,51,1,yash,India,Maharashtra,Female,1968-12-01,2021-09-28,N,75.0,3.0
1296-QUKNS,2022-06-09,Organic,2022-07-09,Premium,Monthly,2023-04-16,Switched to competitor,20.99,701,84,1,anaya,India,West Bengal,Male,1986-10-23,2024-03-03,N,90.0,3.0
1297-SEOIL,2024-12-25,Paid,2025-01-24,Premium,Monthly,,,20.99,106,59,0,sai,India,Telangana,Male,1994-11-09,,,,
1298-KEAXR,2020-08-25,Refferal,2021-08-20,Premium,Annual,,,29.99,2109,37,0,isha,India,Uttar Pradesh,Male,1986-04-05,,,,
1299-XPBEV,2021-03-10,Organic,2021-04-09,Standard,Monthly,,,17.99,376,75,0,meera,India,Maharashtra,Female,1992-09-13,,,,
1300-CROVV,2023-10-18,Organic,2024-10-12,Premium,Annual,,,20.99,628,31,0,aditya,India,Gujarat,Female,1979-04-04,,,,
1301-ORCGX,2023-08-24,Refferal,2024-08-18,Basic,Annual,2025-05-31,Poor streaming quality,8.99,176,77,1,dev,India,Nagaland,Female,2001-01-19,2025-10-06,Y,10.0,3.0
1302-GFMJR,2020-09-22,Organic,2021-09-17,Standard,Annual,,,12.99,799,48,0,myra,India,Delhi,Male,2002-06-09,2021-07-13,N,76.0,1.0
1303-ADYIP,2020-05-04,Paid,2021-04-29,Premium,Annual,,,29.99,1878,28,0,aditya,India,Tamil Nadu,Female,1990-05-16,,,,
1304-EKOWE,2024-10-05,Paid,2024-11-04,Basic,Monthly,2026-06-30,Switched to competitor,6.99,76,66,1,diya,India,Karnataka,Male,1983-10-27,,,,
1305-VZJIV,2023-08-15,Organic,2023-09-14,Basic,Monthly,2024-03-13,Switched to competitor,8.99,122,81,1,yash,Nepal,Kathmandu,Male,2001-12-07,,,,
1306-WRWYZ,2020-07-23,Organic,2020-08-22,Premium,Monthly,,,22.99,1022,37,0,vihaan,India,Meghalaya,Male,1970-03-25,2022-06-27,Y,18.0,2.0
1307-ECNWY,2019-08-31,Refferal,2019-09-30,Basic,Monthly,,,9.99,173,54,0,priya,India,Maharashtra,Female,1998-12-22,,,,
1308-ZDTGS,2022-11-25,Organic,2023-11-20,Basic,Annual,,,9.99,692,76,0,dev,India,Telangana,Male,1966-04-25,,,,
1309-SCDSY,2021-05-26,Refferal,2021-06-25,Premium,Monthly,,,20.99,711,50,0,aarav,India,Gujarat,Female,1977-08-23,,,,
1310-DFLMN,2022-03-26,Organic,2022-04-25,Basic,Monthly,,,8.99,47,63,0,reyansh,India,Gujarat,Male,1999-02-26,,,,
1311-TXJVO,2021-01-04,Refferal,2021-12-30,Premium,Annual,2023-01-09,Poor streaming quality,22.99,417,57,1,ayaan,India,Gujarat,Female,1973-06-21,2022-08-31,N,92.0,1.0
1312-CLGKG,2023-06-28,Paid,2024-06-22,Basic,Annual,,,8.99,529,53,0,nisha,India,Meghalaya,Female,1997-07-13,,,,
1313-EYODD,2021-01-03,Paid,2021-12-29,Standard,Annual,,,12.99,700,37,0,krishna,India,Nagaland,Female,1966-05-02,,,,
1314-DYCVY,2025-02-16,Organic,2025-03-18,Standard,Monthly,2026-06-30,Switched to competitor,17.99,670,57,1,isha,India,Nagaland,Female,1978-03-03,2025-10-09,Y,21.0,1.0
